                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.91789,                0.46647,                 1.0873,                 0.8859,                0.73006,                0.78957,                0.56386,                 1.1387,                0.53942,                 1.2892,                0.00703,                0.00703,                0.00703
                     93,                0.91614,                0.46616,                 1.0864,                0.87097,                 0.7428,                 0.7903,                0.56462,                 1.1391,                0.53643,                 1.2892,               0.006997,               0.006997,               0.006997
                     94,                0.91634,                0.46409,                 1.0867,                 0.8574,                0.74957,                0.78964,                0.56251,                 1.1393,                0.53678,                 1.2897,               0.006964,               0.006964,               0.006964
                     95,                0.91634,                0.46364,                 1.0864,                  0.894,                0.72174,                0.78768,                0.56188,                 1.1397,                0.53718,                 1.2898,               0.006931,               0.006931,               0.006931
                     96,                0.91533,                0.46239,                 1.0859,                0.86724,                0.73915,                0.78654,                0.56185,                   1.14,                0.53632,                 1.2901,               0.006898,               0.006898,               0.006898
                     97,                0.91364,                0.46269,                 1.0849,                0.86217,                0.74296,                0.78597,                0.56135,                 1.1407,                0.53576,                 1.2912,               0.006865,               0.006865,               0.006865
                     98,                0.91384,                0.46129,                 1.0856,                0.86687,                  0.739,                0.78677,                0.56151,                 1.1409,                0.53703,                 1.2914,               0.006832,               0.006832,               0.006832
                     99,                0.91177,                0.45956,                 1.0841,                0.87831,                0.73002,                 0.7856,                0.56104,                 1.1418,                0.53865,                 1.2925,               0.006799,               0.006799,               0.006799
                    100,                0.91148,                0.45875,                 1.0838,                0.85774,                0.74539,                0.78531,                0.56049,                 1.1431,                0.53588,                 1.2937,               0.006766,               0.006766,               0.006766
                    101,                0.91053,                0.45883,                 1.0835,                0.85455,                0.74529,                0.78342,                0.55852,                 1.1441,                0.53732,                  1.295,               0.006733,               0.006733,               0.006733
                    102,                0.91192,                0.45589,                  1.084,                 0.8635,                0.73704,                0.78498,                0.55865,                 1.1445,                0.53557,                 1.2953,                 0.0067,                 0.0067,                 0.0067
                    103,                0.90926,                0.45665,                 1.0827,                0.84941,                0.74683,                0.78577,                 0.5589,                 1.1451,                0.53527,                 1.2954,               0.006667,               0.006667,               0.006667
                    104,                0.90893,                0.45647,                 1.0825,                0.85953,                0.74177,                 0.7871,                0.55939,                 1.1454,                0.53438,                 1.2959,               0.006634,               0.006634,               0.006634
                    105,                0.90842,                0.45382,                 1.0824,                0.85389,                0.75108,                0.78824,                0.55977,                 1.1458,                0.53344,                  1.296,               0.006601,               0.006601,               0.006601
                    106,                0.90765,                0.45366,                 1.0819,                 0.8515,                 0.7605,                0.78908,                0.56047,                  1.146,                0.53257,                 1.2962,               0.006568,               0.006568,               0.006568
                    107,                0.90747,                0.45442,                 1.0817,                0.85407,                0.76211,                0.78783,                0.55988,                 1.1459,                0.53277,                  1.296,               0.006535,               0.006535,               0.006535
                    108,                0.90899,                0.45075,                 1.0827,                0.86219,                0.75251,                0.78682,                0.55783,                 1.1465,                0.53235,                 1.2963,               0.006502,               0.006502,               0.006502
                    109,                0.90706,                0.45169,                 1.0816,                0.85199,                0.76459,                0.78339,                0.55471,                 1.1472,                0.53698,                  1.297,               0.006469,               0.006469,               0.006469
                    110,                0.90533,                0.45119,                 1.0804,                0.85155,                0.76335,                 0.7816,                0.55191,                 1.1478,                0.54104,                 1.2975,               0.006436,               0.006436,               0.006436
                    111,                0.90526,                0.44923,                 1.0806,                0.85447,                0.76082,                0.78208,                0.55225,                 1.1482,                0.54339,                 1.2974,               0.006403,               0.006403,               0.006403
                    112,                0.90367,                0.44588,                 1.0798,                0.86886,                0.74645,                0.78326,                0.55214,                 1.1491,                0.54197,                 1.2985,                0.00637,                0.00637,                0.00637
                    113,                0.90364,                0.44484,                 1.0795,                0.85008,                0.76431,                0.78285,                0.55299,                 1.1503,                0.54225,                 1.2996,               0.006337,               0.006337,               0.006337
                    114,                0.90271,                 0.4447,                 1.0792,                0.88163,                0.73754,                0.77906,                0.55019,                 1.1509,                0.54493,                 1.3005,               0.006304,               0.006304,               0.006304
                    115,                0.90329,                0.44633,                 1.0796,                0.86519,                0.74859,                 0.7785,                0.54924,                 1.1516,                0.55066,                 1.3008,               0.006271,               0.006271,               0.006271
                    116,                0.90144,                0.44381,                 1.0787,                0.87914,                0.73905,                0.77695,                 0.5481,                  1.152,                0.55082,                 1.3014,               0.006238,               0.006238,               0.006238
                    117,                0.89866,                0.44188,                 1.0772,                0.86604,                0.74818,                0.77429,                0.54607,                 1.1528,                 0.5518,                 1.3016,               0.006205,               0.006205,               0.006205
                    118,                0.89821,                0.43956,                 1.0771,                0.86213,                0.75006,                0.77537,                0.54556,                 1.1536,                0.55127,                 1.3023,               0.006172,               0.006172,               0.006172
                    119,                0.89759,                0.43968,                 1.0766,                0.86663,                0.74774,                0.77401,                0.54478,                 1.1542,                 0.5472,                 1.3027,               0.006139,               0.006139,               0.006139
